	batch order	entry name	function	keywords	ec number	similar hits (close to same %id of highest from either e. coli or phage)	my comments	internal name	internal group	ami rank	fol rank	mac rank	tet rank	oth rank	Unnamed: 23	total	count uncharacterized	count comments	count no results	count not confident	>= 95%	>= 90%	>= 75%	>= 50%	Unnamed: 0	rank	group_name	Gene	Non-unique Gene name	Annotation	entry	protein names	protein families	gene names	organism	length (aa)	identity (%)	score	evalue	No. isolates	No. sequences	Avg sequences per isolate	Min group size nuc	Max group size nuc	Avg group size nuc
5322																									2588	63	ymgE	yphD		YphD/YphE/YphF ABC transporter										721	727	1.01	191	1598	994
5323																									7061	63	ymgE	group_26635		putative HTH-type transcriptional regulator										97	97	1	647	692	659
5324																									7494	63	ymgE	ybcQ_2		DLP12 prophage; predicted antitermination protein										88	88	1	488	488	488
5325																									7512	63	ymgE	group_6193		hypothetical protein										88	88	1	350	419	350
5326																									7548	63	ymgE	group_32958		hypothetical protein										87	87	1	191	191	191
5327																									6778	63	ymgE	ydfT_3		Qin prophage; predicted antitermination protein Q										104	104	1	446	752	749
5328																									6255	63	ymgE	group_14953		hypothetical protein										120	120	1	1055	1055	1055
5329																									2417	63	ymgE	mdoD		glucan biosynthesis protein D										753	753	1	887	1655	1614
5330																									7563	63	ymgE	group_38726		hypothetical protein										87	93	1.07	173	173	173
5331																									6719	63	ymgE	group_20049	yfdT	CPS-53 (KpLE1) prophage; predicted protein										105	105	1	296	305	304
5332																									7488	63	ymgE	intZ_1		CPZ-55 prophage; predicted integrase										88	88	1	575	1178	896
5333																									7018	63	ymgE	group_24003		hypothetical protein										98	98	1	224	224	224
5334																									7530	63	ymgE	group_1628	ymfN_1	hypothetical protein										87	115	1.33	740	1940	1750
5335																									6207	63	ymgE	group_22616		hypothetical protein										122	122	1	173	173	173
710																									3129	14	yjeJ	ykgA		putative DNA-binding transcriptional regulator										610	610	1	356	857	828
711																									4561	14	yjeJ	group_29188		hypothetical protein										253	253	1	356	377	357
712																									5125	14	yjeJ	group_20185	yihY	putative inner membrane protein										183	183	1	395	872	861
713																									3241	14	yjeJ	ybiV		sugar phosphatase										576	576	1	233	896	813
714																									4541	14	yjeJ	yraQ_1		hypothetical protein										255	255	1	155	1013	998
715																									4542	14	yjeJ	group_20015		hypothetical protein										255	255	1	164	359	324
716																									5318	14	yjeJ	group_68548		hypothetical protein										171	1171	6.85	980	980	980
717																									3103	14	yjeJ	katE		heme d synthase / hydroperoxidase										617	617	1	1871	2261	2257
718																									4639	14	yjeJ	group_11751	ybiV	sugar phosphatase										242	242	1	263	815	810
719																									4559	14	yjeJ	group_14016	yafP	putative acyltransferase with acyl-CoA N-acyltransferase domain protein										253	253	1	245	452	430
720																									3248	14	yjeJ	chbC		chitobiose / cellobiose PTS permease - ChbC subunit										574	574	1	374	1358	1340
721																									3136	14	yjeJ	group_20014		hypothetical protein										609	609	1	224	359	346
722																									3245	14	yjeJ	ybiW		putative pyruvate formate lyase										575	575	1	209	2432	2326
723																									5281	14	yjeJ	group_15995		hypothetical protein										173	173	1	302	557	551
724																									4406	14	yjeJ	group_11715	yahF	putative acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain protein										274	274	1	260	1547	1522
725																									3189	14	yjeJ	ecpR		MatA DNA-binding transcriptional dual regulator										592	592	1	143	548	540
726																									3204	14	yjeJ	chbF		monoacetylchitobiose-6-phosphate hydrolase										588	588	1	551	1352	1349
727																									3052	14	yjeJ	fliI		flagellum-specific ATP synthase FliI										631	631	1	248	1379	1365
728																									4484	14	yjeJ	group_18811		hypothetical protein										262	262	1	464	776	772
729																									4609	14	yjeJ	group_8790		hypothetical protein										247	247	1	317	1034	735
730																									3742	14	yjeJ	rayT		REP-associated tyrosine transposase										431	431	1	98	497	448
731																									3209	14	yjeJ	phnP		5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase										586	586	1	518	758	757
732																									5910	14	yjeJ	group_5214	yaeF	putative lipoprotein										137	137	1	512	878	675
733																									7436	14	yjeJ	group_1361	ydcM_2	putative transposase										89	89	1	269	1181	1121
734																									4446	14	yjeJ	group_25402	sohB_2	putative inner membrane peptidase										268	268	1	632	1100	1047
735																									5259	14	yjeJ	group_12460		hypothetical protein										174	174	1	566	1427	1310
736																									3172	14	yjeJ	arnB		UDP-L-Ara4O C-4" transaminase										596	596	1	212	1157	1151
737																									3020	14	yjeJ	yihY		putative inner membrane protein										637	637	1	440	872	868
738																									3170	14	yjeJ	phnK		putative carbon-phosphorous lyase subunit										597	597	1	545	1286	758
739																									5240	14	yjeJ	group_1213	yahA	phosphodiesterase, c-di-GMP-specific										175	175	1	194	1115	1067
740																									3069	14	yjeJ	yoaG		putative protein										626	626	1	182	182	182
741																									4506	14	yjeJ	group_21473	fadD_1	fatty acyl-CoA synthetase										260	260	1	1367	1757	1748
742																									4574	14	yjeJ	group_14035	ybiY	putative pyruvate formate lyase activating enzyme										251	251	1	272	908	884
743																									5851	14	yjeJ	group_21574	proS	prolyl-tRNA synthetase										140	140	1	293	1718	1705
744																									5139	14	yjeJ	group_5266	yehB_2	putative outer membrane usher protein										182	182	1	260	1346	1036
745																									6638	14	yjeJ	group_9955	yjeJ	putative protein										108	108	1	113	869	840
746																									4424	14	yjeJ	yahJ		putative deaminase with metallo-dependent hydrolase domain protein										271	271	1	221	1409	1334
747																									4421	14	yjeJ	group_21529	yafJ	putative amidotransferase										272	272	1	332	767	760
748																									5197	14	yjeJ	group_18964	mgtA	Mg2  / Ni2  transporting ATPase										178	178	1	518	2696	2668
749																									4518	14	yjeJ	group_6939		hypothetical protein										258	258	1	308	1358	1259
750																									4562	14	yjeJ	group_5530	pphB	protein-tyrosine-phosphatase / phosphoprotein phosphatase										253	253	1	158	656	645
751																									3094	14	yjeJ	mgtA		Mg2  / Ni2  transporting ATPase										621	621	1	614	2696	2691
752																									3141	14	yjeJ	yeaN		putative amino acid/amine MFS transporter										607	607	1	497	1181	1170
753																									3076	14	yjeJ	yniB		putative inner membrane protein										624	624	1	323	557	535
754																									4866	14	yjeJ	aes_2		acetyl esterase										211	211	1	401	917	889
755																									4546	14	yjeJ	ldrB_2		small toxic polypeptide LdrB										254	254	1	107	275	108
756																									4208	14	yjeJ	group_32724	yhaI	putative inner membrane protein										312	312	1	185	356	355
757																									3401	14	yjeJ	group_15887		hypothetical protein										524	524	1	149	1208	1197
758																									3313	14	yjeJ	fadD_2		fatty acyl-CoA synthetase										553	553	1	209	1751	1746
759																									4146	14	yjeJ	group_7637		hypothetical protein										326	326	1	230	2027	1048
760																									3628	14	yjeJ	yafP		putative acyltransferase with acyl-CoA N-acyltransferase domain protein										468	468	1	173	452	376
761																									5690	14	yjeJ	group_7439	ykgA	putative DNA-binding transcriptional regulator										149	149	1	308	857	830
762																									4032	14	yjeJ	group_19302		hypothetical protein										353	353	1	230	482	479
763																									5413	14	yjeJ	group_8	ecpR	MatA DNA-binding transcriptional dual regulator										165	165	1	116	542	533
764																									4306	14	yjeJ	group_7510		hypothetical protein										295	295	1	686	3530	3146
765																									4821	14	yjeJ	group_9947	phnK	putative carbon-phosphorous lyase subunit										219	219	1	113	845	747
766																									3625	14	yjeJ	yafJ		putative amidotransferase										468	468	1	473	773	766
767																									4820	14	yjeJ	group_8594		hypothetical protein										219	219	1	743	1355	1308
768																									5027	14	yjeJ	group_26516		hypothetical protein										192	192	1	110	110	110
769																									5022	14	yjeJ	group_18718	yniB	putative inner membrane protein										192	192	1	215	590	534
770																									3337	14	yjeJ	yfaV		putative transporter										545	545	1	524	1289	1205
771																									6213	14	yjeJ	group_29215		hypothetical protein										122	122	1	185	185	185
772																									6036	14	yjeJ	group_6906	gatD	galactitol-1-phosphate dehydrogenase										131	131	1	266	1040	866
773																									4795	14	yjeJ	group_7774	phnP	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase										222	222	1	284	770	755
774																									2828	14	yjeJ	proS		prolyl-tRNA synthetase										675	675	1	368	1718	1715
775																									2848	14	yjeJ	yaeF		putative lipoprotein										672	672	1	473	878	783
776																									4960	14	yjeJ	group_18721	katE	heme d synthase / hydroperoxidase										200	200	1	353	2261	2201
777																									3251	14	yjeJ	ybiY		putative pyruvate formate lyase activating enzyme										572	572	1	245	899	893
778																									3365	14	yjeJ	hemC		hydroxymethylbilane synthase										538	538	1	764	962	961
779																									3429	14	yjeJ	yahF		putative acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain protein										519	519	1	101	1547	1526
780																									3364	14	yjeJ	yfaW		L-rhamnonate dehydratase										538	538	1	281	1205	1195
781																									4741	14	yjeJ	group_21765	chbF	monoacetylchitobiose-6-phosphate hydrolase										229	229	1	635	1352	1348
782																									7180	14	yjeJ	group_27269		hypothetical protein										94	94	1	137	164	154
783																									4737	14	yjeJ	ydjO_2		putative protein										230	230	1	236	803	391
784																									4736	14	yjeJ	group_32723		hypothetical protein										230	230	1	89	89	89
785																									3597	14	yjeJ	flhA_1		flagellar biosynthesis protein FlhA										473	473	1	233	2093	1801
786																									2683	14	yjeJ	yjeH		YjeH APC transporter										700	700	1	806	1451	1260
787																									4986	14	yjeJ	chbC_1		chitobiose / cellobiose PTS permease - ChbC subunit										197	197	1	191	1358	1338
788																									7549	14	yjeJ	group_3429		hypothetical protein										87	87	1	287	503	421
789																									5064	14	yjeJ	group_32683	yoaG	putative protein										190	190	1	188	194	188
790																									4121	14	yjeJ	group_16438	ybiW	putative pyruvate formate lyase										331	331	1	554	2432	1931
791																									4878	14	yjeJ	group_13875	arnB	UDP-L-Ara4O C-4" transaminase										210	210	1	905	1157	1155
792																									4652	14	yjeJ	group_29161		hypothetical protein										241	241	1	242	311	310
793																									5543	14	yjeJ	group_11691	fliI	flagellum-specific ATP synthase FliI										156	156	1	164	1376	1353
794																									2955	14	yjeJ	group_25875		hypothetical protein										652	652	1	467	707	705
795																									4175	14	yjeJ	ygaV_1		putative DNA-binding transcriptional regulator										318	318	1	296	320	298
796																									4674	14	yjeJ	group_38162		hypothetical protein										238	238	1	278	278	278
797																									5099	14	yjeJ	group_9087	yeaV	putative transporter										186	186	1	356	1610	1595
798																									5736	14	yjeJ	group_68542		hypothetical protein										147	147	1	980	980	980
799																									3492	14	yjeJ	sohB		putative inner membrane peptidase										502	502	1	431	1049	1047
800																									4844	14	yjeJ	group_15885		hypothetical protein										215	215	1	764	1211	1196
801																									4685	14	yjeJ	group_9894	ygbL	putative class II aldolase										237	237	1	401	638	637
802																									4686	14	yjeJ	group_13373		hypothetical protein										236	236	1	320	971	946
803																									2636	14	yjeJ	yjeJ		putative protein										712	712	1	299	869	863
804																									4842	14	yjeJ	group_11908	sdsP	SdsRQP multidrug efflux transport system - predicted outer membrane factor										215	215	1	647	1466	1456
805																									5351	14	yjeJ	group_25876		hypothetical protein										169	169	1	191	707	691
806																									4889	14	yjeJ	group_11808	chbR	ChbR DNA-binding transcriptional dual regulator										209	209	1	449	839	833
807																									5390	14	yjeJ	rhsB_1		RhsB protein in rhs element										166	166	1	137	4277	4115
808																									4325	14	yjeJ	narZ		nitrate reductase Z, alpha subunit										291	291	1	1826	3770	3662
809																									4651	14	yjeJ	group_24240		hypothetical protein										241	241	1	398	590	541
810																									4650	14	yjeJ	group_18726	dmlA	D-malate dehydrogenase (decarboxylating)										241	241	1	170	1085	1060
811																									5745	14	yjeJ	group_1860	yeeJ_1	adhesin										146	146	1	125	4256	3785
812																									3440	14	yjeJ	yfaX		putative DNA-binding transcriptional regulator										516	516	1	155	782	754
813																									4547	14	yjeJ	group_12378	dmlR_1	DmlR DNA-binding transcriptional regulator										254	254	1	281	926	914
814																									4898	14	yjeJ	group_29219		hypothetical protein										208	208	1	92	92	92
815																									7541	14	yjeJ	vapC_2		tRNA(fMet)-specific endonuclease VapC										87	87	1	338	401	399
816																									6343	14	yjeJ	group_20210	yjeH	YjeH APC transporter										117	117	1	263	1256	1247
817																									4900	14	yjeJ	group_9877	yeaN	putative amino acid/amine MFS transporter										208	208	1	257	1181	1130
818																									4384	14	yjeJ	group_31493	hemC	hydroxymethylbilane synthase										279	279	1	242	971	959
82	83	A0A0H3JCS0_ECO57		#Reference proteome		Q7DBT7		group_12624	yihT	10	5	3	28	15											5401	10	yihT	group_12624		hypothetical protein	A0A0H3JCS0	Transposase	Belongs to the transposase 8 family.	ECs_1337	Escherichia coli O157:H7	141	81.7	128.642	4.70E-39	165	165	1	191	284	247
83	84	YPHB_ECOLI		#3D-structure #Reference proteome		Q8XA67 / A0A0H3JI50 / P32139 / A0A514TYW6	not confident; similar low identity hits mention "Mutarotase superfamily protein" and "Sulfoquinovose mutarotase" and "Uncharacterized protein YihR" and "Portal protein"	group_32592	yihT	10	5	3	28	15											4894	10	yihT	group_32592		hypothetical protein	P76584	Uncharacterized protein YphB		yphB, b2544, JW2528	Escherichia coli (strain K12)	290	26.5	62.7734	2.50E-10	209	209	1	887	887	887
84	85	A0A5Q2F4H5_9CAUD		#Reference proteome		G1JWD3 / P39451 / A0A0H3JJE4	not confident; similar low identity hits mention "Mtd_N domain-containing protein" and "Alcohol dehydrogenase, propanol-preferring, 1.1.1.1" and "Alcohol dehydrogenase"	yhdH_2	yihT	10	5	3	28	15											7306	10	yihT	yhdH_2		hypothetical protein	A0A5Q2F4H5	Tail assembly chaperone			Erwinia phage Midgardsormr38	227	41.7	26.5646	2.6	92	92	1	104	593	109
85	86	YIHM_ECOLI		#Reference proteome		Q8X8F5	similar high identity hit mentions "Sugar phosphate isomerase"	group_10313	yihT	10	5	3	28	15											3396	10	yihT	group_10313		hypothetical protein	P32134	Uncharacterized protein YihM		yihM, b3873, JW3844	Escherichia coli (strain K12)	326	100	651.358	0	526	526	1	245	983	969
86	87	YIHM_ECOLI		#Reference proteome		Q8X8F5	similar high identity hit mentions "Sugar phosphate isomerase"	group_10315	yihT	10	5	3	28	15											5444	10	yihT	group_10315		hypothetical protein	P32134	Uncharacterized protein YihM		yihM, b3873, JW3844	Escherichia coli (strain K12)	326	100	593.578	0	162	162	1	233	980	926
87	88	A8ATU1_9CAUD		#Reference proteome		A0A899IVY9 / A0A7D7ITF8 / A0A482J3R3 / Q8XBQ6	not confident; similar low identity hits mention "DUF1559 domain-containing protein" and "Virion structural protein" and "Tail fiber protein" and "ABC-type iron-siderophore transport system ATP-binding protein"	group_8339	yihT	10	5	3	28	15											5609	10	yihT	group_8339		hypothetical protein	A8ATU1	Gp53			Listeria phage P35	209	50	35.039	0.33	153	153	1	980	1013	1011
493										10	5	3	28	15											7335	10	yihT	gntR_2		GntR DNA-binding transcriptional repressor										91	91	1	518	1031	1022
494										10	5	3	28	15											4880	10	yihT	yaaU_2		YaaU										210	210	1	1148	1433	1426
495										10	5	3	28	15											4932	10	yihT	group_29052	yihW	putative DNA-binding transcriptional regulator										203	203	1	362	788	785
496										10	5	3	28	15											3191	10	yihT	yihV		putative sugar kinase										591	591	1	605	896	895
497										10	5	3	28	15											6365	10	yihT	group_8552	yihN	YihN MFS transporter										117	117	1	932	1265	1260
498										10	5	3	28	15											5901	10	yihT	deoR_2		DeoR DNA-binding transcriptional repressor										137	137	1	782	782	782
499										10	5	3	28	15											4868	10	yihT	shiA_2		shikimate:H  symporter										211	211	1	485	1352	1342
500										10	5	3	28	15											3182	10	yihT	yihU		succinate semialdehyde reductase										594	594	1	659	896	893
501										10	5	3	28	15											3243	10	yihT	yihP		YihP GPH transporter										576	576	1	155	1439	1373
502										10	5	3	28	15											4884	10	yihT	group_29054	yihV	putative sugar kinase										210	210	1	857	896	895
503										10	5	3	28	15											3220	10	yihT	yihW		putative DNA-binding transcriptional regulator										582	582	1	557	827	784
504										10	5	3	28	15											7590	10	yihT	rbsK_3		ribokinase										86	86	1	701	920	917
505										10	5	3	28	15											7221	10	yihT	fucP_2		fucose:H  symporter										93	93	1	773	1316	1303
506										10	5	3	28	15											4886	10	yihT	rspB_2		putative oxidoreductase, Zn-dependent and NAD(P)-binding										210	210	1	1010	1010	1010
507										10	5	3	28	15											5469	10	yihT	ulaA_1		L-ascorbate PTS permease - UlaA subunit										161	161	1	824	1256	1137
508										10	5	3	28	15											4891	10	yihT	group_24182	yihU	succinate semialdehyde reductase										209	209	1	599	878	876
509										10	5	3	28	15											3224	10	yihT	yihS		mannose isomerase										580	580	1	185	1241	1232
510										10	5	3	28	15											3175	10	yihT	yihT		putative aldolase										596	596	1	773	878	877
511										10	5	3	28	15											6242	10	yihT	ulaB_1		Ascorbate-specific PTS system EIIB component										121	121	1	287	287	287
512										10	5	3	28	15											4883	10	yihT	group_26373	yihT	putative aldolase										210	210	1	797	887	886
375																									3774	6	yidG	group_21975		hypothetical protein										422	422	1	221	599	597
376																									3883	6	yidG	group_21974		hypothetical protein										395	395	1	284	599	598
377																									3384	6	yidG	yidG		putative inner membrane protein										531	531	1	221	365	361
378																									3879	6	yidG	group_23851	envZ_7	EnvZ sensory histidine kinase										397	397	1	425	1373	1370
379																									4284	6	yidG	ilvN		acetohydroxybutanoate synthase / acetolactate synthase										300	300	1	185	590	304
380																									5582	6	yidG	ivbL		ilvB operon leader peptide										154	154	1	98	98	98
381																									3980	6	yidG	group_21971	tpiA	triose phosphate isomerase monomer										369	369	1	398	767	765
382																									4350	6	yidG	group_23316	yidG	putative inner membrane protein										286	286	1	134	362	360
383																									4199	6	yidG	envZ_9		EnvZ sensory histidine kinase										314	314	1	914	1373	1369
384																									4552	6	yidG	group_20173	ilvN	acetohydroxybutanoate synthase / acetolactate synthase										254	254	1	290	590	292
385																									6666	6	yidG	group_29186	ivbL	ilvB operon leader peptide										107	107	1	98	98	98
386																									3689	6	yidG	tpiA		triose phosphate isomerase monomer										449	449	1	230	767	764
387																									3857	6	yidG	group_28637		hypothetical protein										403	403	1	104	104	104
1883																									4999	23	yiaY	ampG_1		muropeptide:H  symporter										195	195	1	1013	1280	1278
1884																									7317	23	yiaY	group_864		hypothetical protein										92	92	1	323	1538	1370
1885																									6389	23	yiaY	slyX_2		hypothetical protein										116	309	2.67	209	1538	653
1886																									4503	23	yiaY	soxS_1		SoxS DNA-binding transcriptional dual regulator										261	261	1	959	959	959
1887																									3928	23	yiaY	sgbE		L-ribulose-5-phosphate 4-epimerase										381	381	1	338	695	692
1888																									4502	23	yiaY	cirA_1		outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine										261	261	1	1931	2021	2019
1889																									4553	23	yiaY	msbA_3		ATP-binding lipopolysaccharide transport protein										254	254	1	920	1802	1755
1890																									6671	23	yiaY	group_484	flu_2	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter										107	112	1.05	470	3122	2759
1891																									6354	23	yiaY	group_29290		hypothetical protein										117	117	1	818	1004	992
1892																									4934	23	yiaY	insA-1_2		IS1 protein InsA										203	435	2.15	275	275	275
1893																									5803	23	yiaY	group_7483		hypothetical protein										143	143	1	218	434	424
1894																									3888	23	yiaY	yfaA		putative protein										393	393	1	317	1688	1651
1895																									5104	23	yiaY	mbtB		hypothetical protein										185	185	1	914	9500	9291
1896																									4950	23	yiaY	msbA_2		ATP-binding lipopolysaccharide transport protein										201	201	1	1151	1802	1798
1897																									5077	23	yiaY	group_68488		tRNA-Asn(gtt)										189	189	1	75	75	75
1898																									4694	23	yiaY	group_29294		hypothetical protein										235	235	1	302	302	302
1899																									3645	23	yiaY	group_13828		hypothetical protein										461	461	1	149	149	149
